06/26/2025 00:49:28.393 | 205124808424154 | 152 | STUDIOF_PRD | INF | STUDIOF_PRD\Pos208c1 | Cegid.Framework.ServiceModel | ApplicationFlow | Function 'LegacyDispatcherService.svc - Invoke' - OperationStatus=Start
06/26/2025 00:49:28.409 | 205124808503948 | 157 | STUDIOF_PRD | INF | STUDIOF_PRD\POS132C2 | Cegid.Framework.Data | SqlService | [NATIVE] SELECT MMODELETICKETFISCAL.MXM_BLOCNOTE, MMODELETICKETFISCAL.MXM_CREATEUR, MMODELETICKETFISCAL.MXM_DATECREATION, MMODELETICKETFISCAL.MXM_DATEMODIF, MMODELETICKETFISCAL.MXM_IMPMSGJOUR, MMODELETICKETFISCAL.MXM_LIBELLE, MMODELETICKETFISCAL.MXM_MODELETICKFISC, MMODELETICKETFISCAL.MXM_PREDEFINI, MMODELETICKETFISCAL.MXM_UTILISATEUR FROM MMODELETICKETFISCAL  ORDER BY MXM_MODELETICKFISC 
06/26/2025 00:49:28.409 | 205124808512145 | 152 | STUDIOF_PRD | INF | STUDIOF_PRD\Pos208c1 | LegacyQueries | ApplicationFlow | [PGI] SELECT MCC_APPLIQUER,MCC_ARTGRATUIT,MCC_ARTSOLDE,MCC_BONACHAT,MCC_BREMISECADEAU,MCC_CHPUTILISAT,MCC_CMONTANTMINI,MCC_CMONTANTMINI2,MCC_CMONTANTTYP,MCC_CODECOND,MCC_CONDARTICLE,MCC_CONDCLIENT,MCC_CONDCLIFIDELE,MCC_CONDETAB,MCC_CONDMONTANT,MCC_CONDMOTCLEF,MCC_CONDQTE,MCC_CQTEART2,MCC_CREATEUR,MCC_CRITREGROUP1,MCC_CRITREGROUP2,MCC_CRITREGROUP3,MCC_CRITREGROUP4,MCC_CUMULREGLIGNE,MCC_DATECREATION,MCC_DATEDEBUTCOND,MCC_DATEDEBUTEX1,MCC_DATEDEBUTEX2,MCC_DATEDEBUTEX3,MCC_DATEDEBUTEX4,MCC_DATEDEBUTEX5,MCC_DATEFINCOND,MCC_DATEFINEX1,MCC_DATEFINEX2,MCC_DATEFINEX3,MCC_DATEFINEX4,MCC_DATEFINEX5,MCC_DATEINTEGR,MCC_DATEMODIF,MCC_DECLENCHART,MCC_DECLENCHCLI,MCC_DECLENCHETAB,MCC_DEMARQUE,MCC_DEPUISOCCUR,MCC_DEPUISOCCURFID,MCC_DEPUISXJOUR,MCC_DEPUISXJOURFID,MCC_DEVISE,MCC_EXCLUSIFLIGNE,MCC_EXCLUSIFTICKET,MCC_FAMCONDCOM,MCC_FERME,MCC_IMAGE,MCC_ITERATION,MCC_JUSQUAOCCUR,MCC_JUSQUAOCCURFID,MCC_LIBELLE,MCC_LISTEARTICLE,MCC_MAXIMISE,MCC_MODEPAIE,MCC_MODEPAIEEX,MCC_MOTCLEF,MCC_MSG,MCC_MSG2,MCC_MSGCAISSE,MCC_MSGCAISSE2,MCC_MULTICADEAU,MCC_NATUREPIECE,MCC_NBMINPOINT,MCC_NBOCCURENCE,MCC_NBOCCURFID,MCC_NIVEAU,MCC_ONEFORTICKET,MCC_PARGROUPE,MCC_PERIODEOCCUR,MCC_PERIODICITE,MCC_PERIODOCCURFID,MCC_PERIOEXCEPT1,MCC_PERIOEXCEPT2,MCC_PERIOEXCEPT3,MCC_PERIOEXCEPT4,MCC_PERIOEXCEPT5,MCC_PREENREGISTRE,MCC_PRGFIDELITE,MCC_PRIXREGROUP,MCC_PRIXREGROUPART,MCC_PRIXSURITEM,MCC_RANKING,MCC_RARTICLE,MCC_REDUCTYP,MCC_REGIME,MCC_REGROUPMIN,MCC_REMISABLE,MCC_REMISECADEAU,MCC_REPARTITION,MCC_RQTEART1,MCC_RREGROUPEART,MCC_RSELECTART,MCC_SCANOBLIG,MCC_SOCIETE,MCC_TOUS,MCC_TYPECONDCOM,MCC_UTILBONACHAT2,MCC_UTILISATEUR,MCC_UTILISFIDV2 FROM CONDITIONCOM WHERE MCC_CODECOND IN ("COL-186")
06/26/2025 00:49:28.409 | 205124808528418 | 157 | STUDIOF_PRD | INF | STUDIOF_PRD\POS132C2 | Cegid.Framework.Data | SqlService | SqlExecutionDurationMs=1.0117
06/26/2025 00:49:28.409 | 205124808532268 | 157 | STUDIOF_PRD | INF | STUDIOF_PRD\POS132C2 | Cegid.Framework.CwasAdapters | CallingFlow | Method 'Cegid.Cbp.DBCommandService.OpenSQL' - OperationStatus=Success, OperationDurationMs=12.2875
06/26/2025 00:49:28.409 | 205124808535449 | 157 | STUDIOF_PRD | INF | STUDIOF_PRD\POS132C2 | Cegid.Framework.ServiceModel | ApplicationFlow | Function 'LegacyDispatcherService.svc - Invoke' - OperationStatus=Success, OperationDurationMs=12.6896, SourceApp="N/A", SourceAppVersion="N/A"
06/26/2025 00:49:28.409 | 205124808547313 | 152 | STUDIOF_PRD | INF | STUDIOF_PRD\Pos208c1 | Cegid.Framework.Data | SqlService | [NATIVE] SELECT CONDITIONCOM.MCC_APPLIQUER, CONDITIONCOM.MCC_ARTGRATUIT, CONDITIONCOM.MCC_ARTSOLDE, CONDITIONCOM.MCC_BONACHAT, CONDITIONCOM.MCC_BREMISECADEAU, CONDITIONCOM.MCC_CHPUTILISAT, CONDITIONCOM.MCC_CMONTANTMINI, CONDITIONCOM.MCC_CMONTANTMINI2, CONDITIONCOM.MCC_CMONTANTTYP, CONDITIONCOM.MCC_CODECOND, CONDITIONCOM.MCC_CONDARTICLE, CONDITIONCOM.MCC_CONDCLIENT, CONDITIONCOM.MCC_CONDCLIFIDELE, CONDITIONCOM.MCC_CONDETAB, CONDITIONCOM.MCC_CONDMONTANT, CONDITIONCOM.MCC_CONDMOTCLEF, CONDITIONCOM.MCC_CONDQTE, CONDITIONCOM.MCC_CQTEART2, CONDITIONCOM.MCC_CREATEUR, CONDITIONCOM.MCC_CRITREGROUP1, CONDITIONCOM.MCC_CRITREGROUP2, CONDITIONCOM.MCC_CRITREGROUP3, CONDITIONCOM.MCC_CRITREGROUP4, CONDITIONCOM.MCC_CUMULREGLIGNE, CONDITIONCOM.MCC_DATECREATION, CONDITIONCOM.MCC_DATEDEBUTCOND, CONDITIONCOM.MCC_DATEDEBUTEX1, CONDITIONCOM.MCC_DATEDEBUTEX2, CONDITIONCOM.MCC_DATEDEBUTEX3, CONDITIONCOM.MCC_DATEDEBUTEX4, CONDITIONCOM.MCC_DATEDEBUTEX5, CONDITIONCOM.MCC_DATEFINCOND, CONDITIONCOM.MCC_DATEFINEX1, CONDITIONCOM.MCC_DATEFINEX2, CONDITIONCOM.MCC_DATEFINEX3, CONDITIONCOM.MCC_DATEFINEX4, CONDITIONCOM.MCC_DATEFINEX5, CONDITIONCOM.MCC_DATEINTEGR, CONDITIONCOM.MCC_DATEMODIF, CONDITIONCOM.MCC_DECLENCHART, CONDITIONCOM.MCC_DECLENCHCLI, CONDITIONCOM.MCC_DECLENCHETAB, CONDITIONCOM.MCC_DEMARQUE, CONDITIONCOM.MCC_DEPUISOCCUR, CONDITIONCOM.MCC_DEPUISOCCURFID, CONDITIONCOM.MCC_DEPUISXJOUR, CONDITIONCOM.MCC_DEPUISXJOURFID, CONDITIONCOM.MCC_DEVISE, CONDITIONCOM.MCC_EXCLUSIFLIGNE, CONDITIONCOM.MCC_EXCLUSIFTICKET, CONDITIONCOM.MCC_FAMCONDCOM, CONDITIONCOM.MCC_FERME, CONDITIONCOM.MCC_IMAGE, CONDITIONCOM.MCC_ITERATION, CONDITIONCOM.MCC_JUSQUAOCCUR, CONDITIONCOM.MCC_JUSQUAOCCURFID, CONDITIONCOM.MCC_LIBELLE, CONDITIONCOM.MCC_LISTEARTICLE, CONDITIONCOM.MCC_MAXIMISE, CONDITIONCOM.MCC_MODEPAIE, CONDITIONCOM.MCC_MODEPAIEEX, CONDITIONCOM.MCC_MOTCLEF, CONDITIONCOM.MCC_MSG, CONDITIONCOM.MCC_MSG2, CONDITIONCOM.MCC_MSGCAISSE, CONDITIONCOM.MCC_MSGCAISSE2, CONDITIONCOM.MCC_MULTICADEAU, CONDITIONCOM.MCC_NATUREPIECE, CONDITIONCOM.MCC_NBMINPOINT, CONDITIONCOM.MCC_NBOCCURENCE, CONDITIONCOM.MCC_NBOCCURFID, CONDITIONCOM.MCC_NIVEAU, CONDITIONCOM.MCC_ONEFORTICKET, CONDITIONCOM.MCC_PARGROUPE, CONDITIONCOM.MCC_PERIODEOCCUR, CONDITIONCOM.MCC_PERIODICITE, CONDITIONCOM.MCC_PERIODOCCURFID, CONDITIONCOM.MCC_PERIOEXCEPT1, CONDITIONCOM.MCC_PERIOEXCEPT2, CONDITIONCOM.MCC_PERIOEXCEPT3, CONDITIONCOM.MCC_PERIOEXCEPT4, CONDITIONCOM.MCC_PERIOEXCEPT5, CONDITIONCOM.MCC_PREENREGISTRE, CONDITIONCOM.MCC_PRGFIDELITE, CONDITIONCOM.MCC_PRIXREGROUP, CONDITIONCOM.MCC_PRIXREGROUPART, CONDITIONCOM.MCC_PRIXSURITEM, CONDITIONCOM.MCC_RANKING, CONDITIONCOM.MCC_RARTICLE, CONDITIONCOM.MCC_REDUCTYP, CONDITIONCOM.MCC_REGIME, CONDITIONCOM.MCC_REGROUPMIN, CONDITIONCOM.MCC_REMISABLE, CONDITIONCOM.MCC_REMISECADEAU, CONDITIONCOM.MCC_REPARTITION, CONDITIONCOM.MCC_RQTEART1, CONDITIONCOM.MCC_RREGROUPEART, CONDITIONCOM.MCC_RSELECTART, CONDITIONCOM.MCC_SCANOBLIG, CONDITIONCOM.MCC_SOCIETE, CONDITIONCOM.MCC_TOUS, CONDITIONCOM.MCC_TYPECONDCOM, CONDITIONCOM.MCC_UTILBONACHAT2, CONDITIONCOM.MCC_UTILISATEUR, CONDITIONCOM.MCC_UTILISFIDV2 FROM CONDITIONCOM WHERE CONDITIONCOM.MCC_CODECOND IN ('COL-186' ) 
06/26/2025 00:49:28.409 | 205124808561732 | 152 | STUDIOF_PRD | INF | STUDIOF_PRD\Pos208c1 | Cegid.Framework.Data | SqlService | SqlExecutionDurationMs=1.0055
06/26/2025 00:49:28.409 | 205124808566083 | 152 | STUDIOF_PRD | INF | STUDIOF_PRD\Pos208c1 | Cegid.Framework.CwasAdapters | CallingFlow | Method 'Cegid.Cbp.DBCommandService.OpenSQL' - OperationStatus=Success, OperationDurationMs=6.3446
06/26/2025 00:49:28.409 | 205124808571011 | 152 | STUDIOF_PRD | INF | STUDIOF_PRD\Pos208c1 | Cegid.Framework.ServiceModel | ApplicationFlow | Function 'LegacyDispatcherService.svc - Invoke' - OperationStatus=Success, OperationDurationMs=6.9622, SourceApp="N/A", SourceAppVersion="N/A"
06/26/2025 00:49:28.409 | 205124808610687 | 152 |  | INF |  | Cegid.Framework.ServiceModel | Authorization | Status=Granted, User=STUDIOF_PRD\POS038C2, Resource=/Y2_PRD/LegacyDispatcherService.svc
